run 92: {'page': 1, 'para': 11, 'line': 23, 'text': 'ü', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 93: {'page': 1, 'para': 11, 'line': 23, 'text': 'hlen, Vor', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 94: {'page': 1, 'para': 11, 'line': 23, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 95: {'page': 1, 'para': 11, 'line': 23, 'text': 'tellungen machen und Verh', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 96: {'page': 1, 'para': 11, 'line': 23, 'text': 'ä', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 97: {'page': 1, 'para': 11, 'line': 23, 'text': 'ltni', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 98: {'page': 1, 'para': 11, 'line': 23, 'text': 'ss', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 99: {'page': 1, 'para': 11, 'line': 23, 'text': 'e fa', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 100: {'page': 1, 'para': 11, 'line': 23, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 101: {'page': 1, 'para': 11, 'line': 23, 'text': '-', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 102: {'page': 1, 'para': 11, 'line': 24, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 103: {'page': 1, 'para': 11, 'line': 24, 'text': 'en oder gewahrnehmen kann, i', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 104: {'page': 1, 'para': 11, 'line': 24, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 105: {'page': 1, 'para': 11, 'line': 24, 'text': 't aufgelegt zu alle dem,', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 106: {'page': 1, 'para': 11, 'line': 25, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 107: {'page': 1, 'para': 11, 'line': 25, 'text': 'was eine Men', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 108: {'page': 1, 'para': 11, 'line': 25, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 109: {'page': 1, 'para': 11, 'line': 25, 'text': 'chen', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 110: {'page': 1, 'para': 11, 'line': 25, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 111: {'page': 1, 'para': 11, 'line': 25, 'text': 'eele verrichtet, wenn ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 112: {'page': 1, 'para': 11, 'line': 25, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 113: {'page': 1, 'para': 11, 'line': 25, 'text': 'ie ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 114: {'page': 1, 'para': 11, 'line': 25, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 115: {'page': 1, 'para': 11, 'line': 25, 'text': 'ich Kennt-', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 116: {'page': 1, 'para': 11, 'line': 26, 'text': '', 'isbreak': 'no', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 117: {'page': 1, 'para': 11, 'line': 26, 'text': 'ni', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 118: {'page': 1, 'para': 11, 'line': 26, 'text': 'ss', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 119: {'page': 1, 'para': 11, 'line': 26, 'text': 'e ver', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 120: {'page': 1, 'para': 11, 'line': 26, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 121: {'page': 1, 'para': 11, 'line': 26, 'text': 'chaffet. Alle Ver', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 122: {'page': 1, 'para': 11, 'line': 26, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 123: {'page': 1, 'para': 11, 'line': 26, 'text': 'tandesth', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 124: {'page': 1, 'para': 11, 'line': 26, 'text': 'ä', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 125: {'page': 1, 'para': 11, 'line': 26, 'text': 'tigkeiten be', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 126: {'page': 1, 'para': 11, 'line': 26, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 127: {'page': 1, 'para': 11, 'line': 26, 'text': 'tehen', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 128: {'page': 1, 'para': 11, 'line': 27, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 129: {'page': 1, 'para': 11, 'line': 27, 'text': 'aus die', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 130: {'page': 1, 'para': 11, 'line': 27, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 131: {'page': 1, 'para': 11, 'line': 27, 'text': 'en genannten Elementar-Aktionen. Dieß zu', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 132: {'page': 1, 'para': 11, 'line': 28, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 133: {'page': 1, 'para': 11, 'line': 28, 'text': 'zeigen, war ein Theil meiner Ab', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 134: {'page': 1, 'para': 11, 'line': 28, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 135: {'page': 1, 'para': 11, 'line': 28, 'text': 'icht in den beyden n', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 136: {'page': 1, 'para': 11, 'line': 28, 'text': 'ä', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 137: {'page': 1, 'para': 11, 'line': 28, 'text': 'ch', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 138: {'page': 1, 'para': 11, 'line': 28, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 139: {'page': 1, 'para': 11, 'line': 28, 'text': 't', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 140: {'page': 1, 'para': 12, 'line': 29, 'text': 'vorher-', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 141: {'page': 2, 'para': 13, 'line': 1, 'text': '', 'isbreak': 'no', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 142: {'page': 2, 'para': 13, 'line': 1, 'text': '[', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 143: {'page': 2, 'para': 13, 'line': 1, 'text': '427', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 144: {'page': 2, 'para': 13, 'line': 1, 'text': '] der ', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 145: {'page': 2, 'para': 13, 'line': 1, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 146: {'page': 2, 'para': 13, 'line': 1, 'text': 'innlich', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 147: {'page': 2, 'para': 13, 'line': 1, 'text': '. Kenntn. u. d. vern', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 148: {'page': 2, 'para': 13, 'line': 1, 'text': 'ü', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 149: {'page': 2, 'para': 13, 'line': 1, 'text': 'nftigen.', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 150: {'page': 2, 'para': 14, 'line': 2, 'text': 'vorhergehenden Ver', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 151: {'page': 2, 'para': 14, 'line': 2, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 152: {'page': 2, 'para': 14, 'line': 2, 'text': 'uchen. Nun i', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 153: {'page': 2, 'para': 14, 'line': 2, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 154: {'page': 2, 'para': 14, 'line': 2, 'text': 't noch ein anderer', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 155: {'page': 2, 'para': 14, 'line': 3, 'text': '', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 156: {'page': 2, 'para': 14, 'line': 3, 'text': 'zur', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 157: {'page': 2, 'para': 14, 'line': 3, 'text': 'ü', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 158: {'page': 2, 'para': 14, 'line': 3, 'text': 'ck, nemlich das Verh', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 159: {'page': 2, 'para': 14, 'line': 3, 'text': 'ä', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 160: {'page': 2, 'para': 14, 'line': 3, 'text': 'ltniß die', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
run 161: {'page': 2, 'para': 14, 'line': 3, 'text': 's', 'isbreak': 'yes', 'bold': False, 'strikethrough': False, 'italic': False, 'underline': False}
